token,frequency
=,1582
",",1292
.,1019
),970
(,970
numpy,275
+,268
self,264
:,227
-,202
[,179
],179
m,158
d,132
*,130
plt,125
dataname,111
/,100
n,96
X,95
str,94
isSearch,90
print,88
npzfile,85
xMat,85
isExact,82
w,79
def,79
y,71
r,66
s,66
gamma,66
yVec,66
fontsize,57
import,56
err1,55
demo,55
|,52
semilogy,52
linestyle,52
linewidth,52
color,52
home_dir,51
err2,50
err4,50
return,50
err3,50
maxiter,49
shape,47
axis,46
NewtonIter,45
of,43
repeat,42
newtoniter,41
outfilename,41
if,40
is,39
Gamma,38
dot,38
p,37
alpha,35
for,35
matX,35
MaxIter,32
in,32
testConvergence,32
ResultName,30
datatype,30
e,29
reshape,28
condnum,28
range,26
median,26
b,24
sys,24
the,23
err,23
wVec,23
imagename,23
npz,23
GammaName,22
main,22
T,22
zeros,22
False,22
loadData,22
Size,22
^,21
grad,21
filename,20
path,20
A,19
ones,19
load,19
err6,18
err5,18
linalg,17
aMat,17
l,17
etaList,17
v,17
random,17
CG,16
pVec,16
Repeat,16
IsExact,16
experiment,16
errMat,16
None,16
True,16
from,16
Demo,16
by,15
sum,15
executor,15
append,15
vecW,14
pdf,14
t,14
plotConvergence,14
fig,14
line0,14
fit,14
i,14
Output,14
IsSearch,14
_2,13
objFun,13
rsnew,13
lam,13
xMat2,13
gtol,13
expZVec,13
sqrt,13
concatenate,13
zVec,12
covMatrix,12
mu,12
d1,12
objValVec,12
__main__,12
savez,12
number,12
vecW1,12
__name__,12
eta,12
vecS,11
_iter,11
sigma,11
_gamma,11
as,11
line2,11
args,11
files,11
idx,11
int,11
g,11
line1,11
line3,11
matrix,10
mean,10
numEta,10
Tol,10
tol,10
vecY,10
solver,10
logspace,9
Solver,9
norm,9
data,9
executorList,9
Cov,8
len,8
exp,8
vecW2,8
outfile,8
matV,8
wopt,8
si,8
iterations,8
star,8
elif,8
gradient,8
gVec,8
rsold,8
Resource,7
ceil,7
j,7
tight_layout,7
